,Unnamed: 0,Unnamed: 0.1,title,paper_file,video_file,subtitle_file,video_url,data_imported
64,64.0,64.0,ROOT: A Multidisciplinary Approach to Urban Health Challenges with HCI,,./video/64.mp4,./__subtitles/64.srt,https://www.youtube.com/watch?v=MMXscPUXBsk,N
65,65.0,65.0,HCI and Menopause: Designing With and Around the Aging Body,,./video/65.mp4,./__subtitles/65.srt,https://www.youtube.com/watch?v=wDtIjySKaaU,N
66,66.0,66.0,Should I Interfere? AI-Assistants' Interaction with Knowledge Workers: A Case Study in the Oil ...,,./video/66.mp4,./__subtitles/66.srt,https://www.youtube.com/watch?v=CZnpYTFWekk,N
67,67.0,67.0,Identifying the Intersections: User Experience + Research Scientist Collaboration in a ...,,./video/67.mp4,./__subtitles/67.srt,https://www.youtube.com/watch?v=EtQPmBTgeA4,N
68,68.0,68.0,When Users Assist the Voice Assistants: From Supervision to Failure Resolution,,./video/68.mp4,./__subtitles/68.srt,https://www.youtube.com/watch?v=S99_5eZkGJQ,N
69,69.0,69.0,Building Together: When Research Went Viral at Uber,,./video/69.mp4,./__subtitles/69.srt,https://www.youtube.com/watch?v=b_R259Xqs24,N
70,70.0,70.0,From the Lab to the OB Truck: Object-Based Broadcasting at the FA Cup in Wembley Stadium,,./video/70.mp4,./__subtitles/70.srt,https://www.youtube.com/watch?v=0dbr23kR4Pg,N
71,71.0,71.0,"The Tesserae Project: Large-Scale, Longitudinal, In Situ, Multimodal Sensing of Information Workers",,./video/71.mp4,./__subtitles/71.srt,https://www.youtube.com/watch?v=dJaorBy-buU,N
72,72.0,72.0,Modeling Mobile Interface Tappability Using Crowdsourcing and Deep Learning,3290605.3300305.pdf,./video/72.mp4,./__subtitles/72.srt,https://www.youtube.com/watch?v=Tq3X609yo44,N
73,73.0,73.0,Design Guideline for Developing Safe Systems that Apply Electricity to the Human Body,,./video/73.mp4,./__subtitles/73.srt,https://www.youtube.com/watch?v=LEkOauR1Kog,N
74,74.0,74.0,TORC: A Virtual Reality Controller for In-Hand High-Dexterity Finger Interaction,,./video/74.mp4,./__subtitles/74.srt,https://www.youtube.com/watch?v=1rmCbZlZEaY,N
75,75.0,75.0,The Performative Mirror Space,3290605.3300301.pdf,./video/75.mp4,./__subtitles/75.srt,https://www.youtube.com/watch?v=DeaoSEsjZEw,N
